Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
patient_id,microbiology,,text,Patient ID,,Use patient_id or another unique record key,,,,,,,,,,,
source_file,microbiology,,text,Source File,,Original PDF filename,,,,,,,,,,,
biomerieux_customer,microbiology,,text,bioM,,,,,,,,,,,,,
report_title,microbiology,,text,Report Title,,,,,,,,,,,,,
system_number,microbiology,,text,System Number,,,,,,,,,,,,,
printed_by,microbiology,,text,Printed By,,,,,,,,,,,,,
last_updated,microbiology,,text,Last Updated,,Keep as text unless reformatted,,,,,,,,,,,
updated_by,microbiology,,text,Updated By,,,,,,,,,,,,,
report_version,microbiology,,text,Report Version,,,,,,,,,,,,,
patient_name,microbiology,,text,Patient Name,,,,,,,,,,,,,
isolate,microbiology,,text,Isolate,,,,,,,,,,,,,
isolate_status,microbiology,,text,Isolate Status,,"e.g. Approved, To be reviewed",,,,,,,,,,,
bench,microbiology,,text,Bench,,,,,,,,,,,,,
id_card_type,microbiology,,text,ID Card Type,,"e.g. GP, GN, YST",,,,,,,,,,,
id_card_barcode,microbiology,,text,ID Card Barcode,,,,,,,,,,,,,
id_testing_instrument,microbiology,,text,ID Testing Instrument,,,,,,,,,,,,,
ast_card_type,microbiology,,text,AST Card Type,,e.g. AST-GP75,,,,,,,,,,,
ast_card_barcode,microbiology,,text,AST Card Barcode,,,,,,,,,,,,,
ast_testing_instrument,microbiology,,text,AST Testing Instrument,,,,,,,,,,,,,
setup_technologist,microbiology,,text,Setup Technologist,,,,,,,,,,,,,
bionumber,microbiology,,text,Bionumber,,,,,,,,,,,,,
selected_organism,microbiology,,text,Selected Organism,,,,,,,,,,,,,
installed_vitek_version,microbiology,,text,Installed VITEK Version,,,,,,,,,,,,,
mic_interpretation_guideline,microbiology,,text,MIC Interpretation Guideline,,,,,,,,,,,,,
therapeutic_interpretation_guideline,microbiology,,text,Therapeutic Interpretation Guideline,,,,,,,,,,,,,
aes_parameter_set_name,microbiology,,text,AES Parameter Set Name,,,,,,,,,,,,,
