source_name,redcap_name
source_file,source_file
biomerieux_customer,biomerieux_customer
report_title,report_title
system_number,system_number
printed_by,printed_by
last_updated,last_updated
updated_by,updated_by
report_version,report_version
patient_name,patient_name
patient_id,patient_id
isolate,isolate
isolate_status,isolate_status
bench,bench
id_card_type,id_card_type
id_card_barcode,id_card_barcode
id_testing_instrument,id_testing_instrument
ast_card_type,ast_card_type
ast_card_barcode,ast_card_barcode
ast_testing_instrument,ast_testing_instrument
setup_technologist,setup_technologist
bionumber,bionumber
selected_organism,selected_organism
installed_vitek_version,installed_vitek_version
mic_interpretation_guideline,mic_interpretation_guideline
therapeutic_interpretation_guideline,therapeutic_interpretation_guideline
aes_parameter_set_name,aes_parameter_set_name
aes_parameter_last_modified,aes_parameter_last_modified
mcfarland,mcfarland
id_card,id_card
id_lot_number,id_lot_number
id_expires,id_expires
id_status,id_status
id_analysis_time,id_analysis_time
id_completed,id_completed
organism_origin,organism_origin
identified_organism,identified_organism
organism_probability_pct,organism_probability_pct
id_confidence,id_confidence
analysis_organisms_tests_to_separate,analysis_organisms_tests_to_separate
contraindicating_typical_biopatterns,contraindicating_typical_biopatterns
susceptibility_card,susceptibility_card
susceptibility_lot_number,susceptibility_lot_number
susceptibility_expires,susceptibility_expires
susceptibility_status,susceptibility_status
susceptibility_analysis_time,susceptibility_analysis_time
susceptibility_completed,susceptibility_completed
aes_last_modified,aes_last_modified
aes_parameter_set,aes_parameter_set
aes_confidence_level,aes_confidence_level
lab_id,lab_id
esbl_mic,esbl_mic
esbl_interpretation_raw,esbl_interpretation_raw
esbl_interpretation,esbl_interpretation
ertapenem_mic,ertapenem_mic
ertapenem_interpretation_raw,ertapenem_interpretation_raw
ertapenem_interpretation,ertapenem_interpretation
ampicillin_mic,ampicillin_mic
ampicillin_interpretation_raw,ampicillin_interpretation_raw
ampicillin_interpretation,ampicillin_interpretation
ampicillin_sulbactam_mic,ampicillin_sulbactam_mic
ampicillin_sulbactam_interpretation_raw,ampicillin_sulbactam_interpretation_raw
ampicillin_sulbactam_interpretation,ampicillin_sulbactam_interpretation
piperacillin_mic,piperacillin_mic
piperacillin_interpretation_raw,piperacillin_interpretation_raw
piperacillin_interpretation,piperacillin_interpretation
cefazolin_mic,cefazolin_mic
cefazolin_interpretation_raw,cefazolin_interpretation_raw
cefazolin_interpretation,cefazolin_interpretation
cefoxitin_mic,cefoxitin_mic
cefoxitin_interpretation_raw,cefoxitin_interpretation_raw
cefoxitin_interpretation,cefoxitin_interpretation
ceftazidime_mic,ceftazidime_mic
ceftazidime_interpretation_raw,ceftazidime_interpretation_raw
ceftazidime_interpretation,ceftazidime_interpretation
ceftriaxone_mic,ceftriaxone_mic
ceftriaxone_interpretation_raw,ceftriaxone_interpretation_raw
ceftriaxone_interpretation,ceftriaxone_interpretation
cefepime_mic,cefepime_mic
cefepime_interpretation_raw,cefepime_interpretation_raw
cefepime_interpretation,cefepime_interpretation
meropenem_mic,meropenem_mic
meropenem_interpretation_raw,meropenem_interpretation_raw
meropenem_interpretation,meropenem_interpretation
amikacin_mic,amikacin_mic
amikacin_interpretation_raw,amikacin_interpretation_raw
amikacin_interpretation,amikacin_interpretation
gentamicin_mic,gentamicin_mic
gentamicin_interpretation_raw,gentamicin_interpretation_raw
gentamicin_interpretation,gentamicin_interpretation
tobramycin_mic,tobramycin_mic
tobramycin_interpretation_raw,tobramycin_interpretation_raw
tobramycin_interpretation,tobramycin_interpretation
ciprofloxacin_mic,ciprofloxacin_mic
ciprofloxacin_interpretation_raw,ciprofloxacin_interpretation_raw
ciprofloxacin_interpretation,ciprofloxacin_interpretation
levofloxacin_mic,levofloxacin_mic
levofloxacin_interpretation_raw,levofloxacin_interpretation_raw
levofloxacin_interpretation,levofloxacin_interpretation
nitrofurantoin_mic,nitrofurantoin_mic
nitrofurantoin_interpretation_raw,nitrofurantoin_interpretation_raw
nitrofurantoin_interpretation,nitrofurantoin_interpretation
trimethoprim_sulfamethoxazole_mic,trimethoprim_sulfamethoxazole_mic
trimethoprim_sulfamethoxazole_interpretation_raw,trimethoprim_sulfamethoxazole_interpretation_raw
trimethoprim_sulfamethoxazole_interpretation,trimethoprim_sulfamethoxazole_interpretation
cefoxitin_screen_mic,cefoxitin_screen_mic
cefoxitin_screen_interpretation_raw,cefoxitin_screen_interpretation_raw
cefoxitin_screen_interpretation,cefoxitin_screen_interpretation
clindamycin_mic,clindamycin_mic
clindamycin_interpretation_raw,clindamycin_interpretation_raw
clindamycin_interpretation,clindamycin_interpretation
linezolid_mic,linezolid_mic
linezolid_interpretation_raw,linezolid_interpretation_raw
linezolid_interpretation,linezolid_interpretation
oxacillin_mic,oxacillin_mic
oxacillin_interpretation_raw,oxacillin_interpretation_raw
oxacillin_interpretation,oxacillin_interpretation
daptomycin_mic,daptomycin_mic
daptomycin_interpretation_raw,daptomycin_interpretation_raw
daptomycin_interpretation,daptomycin_interpretation
gentamicin_high_level_synergy_mic,gentamicin_high_level_synergy_mic
gentamicin_high_level_synergy_interpretation_raw,gentamicin_high_level_synergy_interpretation_raw
gentamicin_high_level_synergy_interpretation,gentamicin_high_level_synergy_interpretation
vancomycin_mic,vancomycin_mic
vancomycin_interpretation_raw,vancomycin_interpretation_raw
vancomycin_interpretation,vancomycin_interpretation
streptomycin_high_level_synergy_mic,streptomycin_high_level_synergy_mic
streptomycin_high_level_synergy_interpretation_raw,streptomycin_high_level_synergy_interpretation_raw
streptomycin_high_level_synergy_interpretation,streptomycin_high_level_synergy_interpretation
doxycycline_mic,doxycycline_mic
doxycycline_interpretation_raw,doxycycline_interpretation_raw
doxycycline_interpretation,doxycycline_interpretation
tetracycline_mic,tetracycline_mic
tetracycline_interpretation_raw,tetracycline_interpretation_raw
tetracycline_interpretation,tetracycline_interpretation
tigecycline_mic,tigecycline_mic
tigecycline_interpretation_raw,tigecycline_interpretation_raw
tigecycline_interpretation,tigecycline_interpretation
moxifloxacin_mic,moxifloxacin_mic
moxifloxacin_interpretation_raw,moxifloxacin_interpretation_raw
moxifloxacin_interpretation,moxifloxacin_interpretation
rifampicin_mic,rifampicin_mic
rifampicin_interpretation_raw,rifampicin_interpretation_raw
rifampicin_interpretation,rifampicin_interpretation
inducible_clindamycin_resistance_mic,inducible_clindamycin_resistance_mic
inducible_clindamycin_resistance_interpretation_raw,inducible_clindamycin_resistance_interpretation_raw
inducible_clindamycin_resistance_interpretation,inducible_clindamycin_resistance_interpretation
erythromycin_mic,erythromycin_mic
erythromycin_interpretation_raw,erythromycin_interpretation_raw
erythromycin_interpretation,erythromycin_interpretation
fluconazole_mic,fluconazole_mic
fluconazole_interpretation_raw,fluconazole_interpretation_raw
fluconazole_interpretation,fluconazole_interpretation
micafungin_mic,micafungin_mic
micafungin_interpretation_raw,micafungin_interpretation_raw
micafungin_interpretation,micafungin_interpretation
voriconazole_mic,voriconazole_mic
voriconazole_interpretation_raw,voriconazole_interpretation_raw
voriconazole_interpretation,voriconazole_interpretation
amphotericin_b_mic,amphotericin_b_mic
amphotericin_b_interpretation_raw,amphotericin_b_interpretation_raw
amphotericin_b_interpretation,amphotericin_b_interpretation
caspofungin_mic,caspofungin_mic
caspofungin_interpretation_raw,caspofungin_interpretation_raw
caspofungin_interpretation,caspofungin_interpretation
flucytosine_mic,flucytosine_mic
flucytosine_interpretation_raw,flucytosine_interpretation_raw
flucytosine_interpretation,flucytosine_interpretation
id_analysis_messages,id_analysis_messages
comments,comments
isolate_2,isolate_2
bench_2,bench_2
isolate_status_2,isolate_status_2
selected_organism_2,selected_organism_2
mcfarland_2,mcfarland_2
id_card_2,id_card_2
organism_origin_2,organism_origin_2
identified_organism_2,identified_organism_2
organism_probability_pct_2,organism_probability_pct_2
id_confidence_2,id_confidence_2
lab_id_2,lab_id_2
esbl_mic_2,esbl_mic_2
esbl_interpretation_raw_2,esbl_interpretation_raw_2
